Date,Asset_ID,Daily_Degradation,Cumulative_Degradation,AHI_Predicted,Power_kWh,Model,Role
2025-06-08,FCU_01,0.16711584,16.162,43.808,6.5616,RF,train
2025-06-09,FCU_01,0.16632986,16.3283,43.6417,6.4863,RF,train
2025-06-10,FCU_01,0.16859249,16.4969,43.4731,6.6256,RF,train
2025-06-11,FCU_01,0.16955281,16.6664,43.3036,6.6292,RF,train
2025-06-12,FCU_01,0.17002052,16.8364,43.1336,6.6406,RF,train
2025-06-13,FCU_01,0.16966941,17.0061,42.9639,6.5362,RF,train
2025-06-14,FCU_01,0.17255726,17.1787,42.7913,6.7076,RF,train
2025-06-15,FCU_01,0.17272501,17.3514,42.6186,6.736,RF,train
2025-06-16,FCU_01,0.17006117,17.5215,42.4485,6.5907,RF,train
2025-06-17,FCU_01,0.1692381,17.6907,42.2793,6.5443,RF,train
2025-06-18,FCU_01,0.171632,17.8623,42.1077,6.6503,RF,train
2025-06-19,FCU_01,0.17011196,18.0324,41.9376,6.5979,RF,train
2025-06-20,FCU_01,0.17012439,18.2026,41.7674,6.5741,RF,train
2025-06-21,FCU_01,0.17097503,18.3735,41.5965,6.6382,RF,train
2025-06-22,FCU_01,0.17043658,18.544,41.426,6.581,RF,train
2025-06-23,FCU_01,0.17053401,18.7145,41.2555,6.5709,RF,train
2025-06-24,FCU_01,0.17263684,18.8871,41.0829,6.6704,RF,train
2025-06-25,FCU_01,0.17303608,19.0602,40.9098,6.7796,RF,train
2025-06-26,FCU_01,0.17148867,19.2317,40.7383,6.6307,RF,train
2025-06-27,FCU_01,0.17283256,19.4045,40.5655,6.6735,RF,train
2025-06-28,FCU_01,0.173367,19.5779,40.3921,6.8179,RF,train
2025-06-29,FCU_01,0.17349193,19.7514,40.2186,6.6616,RF,train
2025-06-30,FCU_01,0.17261744,19.924,40.046,6.6416,RF,train
2025-07-01,FCU_01,0.17269555,20.0967,39.8733,6.6425,RF,train
2025-07-02,FCU_01,0.17081499,20.2675,39.7025,6.5593,RF,train
2025-07-03,FCU_01,0.17079675,20.4383,39.5317,6.5244,RF,train
2025-07-04,FCU_01,0.17374417,20.612,39.358,6.6625,RF,train
2025-07-05,FCU_01,0.17419772,20.7862,39.1838,6.7305,RF,train
2025-07-06,FCU_01,0.17079538,20.957,39.013,6.5447,RF,train
2025-07-07,FCU_01,0.17431391,21.1313,38.8387,6.7029,RF,train
2025-07-08,FCU_01,0.17107329,21.3024,38.6676,6.4787,RF,train
2025-07-09,FCU_01,0.17176758,21.4742,38.4958,6.586,RF,train
2025-07-10,FCU_01,0.17134159,21.6455,38.3245,6.5269,RF,train
2025-07-11,FCU_01,0.17134502,21.8169,38.1531,6.5281,RF,train
2025-07-12,FCU_01,0.17076897,21.9876,37.9824,6.4977,RF,train
2025-07-13,FCU_01,0.16797818,22.1556,37.8144,6.354,RF,train
2025-07-14,FCU_01,0.16969821,22.3253,37.6447,6.5391,RF,train
2025-07-15,FCU_01,0.17049615,22.4958,37.4742,6.5189,RF,train
2025-07-16,FCU_01,0.16860394,22.6644,37.3056,6.4104,RF,train
2025-07-17,FCU_01,0.17018055,22.8346,37.1354,6.498,RF,train
2025-07-18,FCU_01,0.16738852,23.002,36.968,6.3484,RF,train
2025-07-19,FCU_01,0.1691801,23.1712,36.7988,6.3966,RF,train
2025-07-20,FCU_01,0.16735847,23.3385,36.6315,6.3118,RF,train
2025-07-21,FCU_01,0.16882705,23.5073,36.4627,6.3804,RF,train
2025-07-22,FCU_01,0.1685622,23.6759,36.2941,6.3623,RF,train
2025-07-23,FCU_01,0.16911364,23.845,36.125,6.3755,RF,train
2025-07-24,FCU_01,0.16685876,24.0119,35.9581,6.2436,RF,train
2025-07-25,FCU_01,0.16771608,24.1796,35.7904,6.3761,RF,train
2025-07-26,FCU_01,0.16409605,24.3437,35.6263,6.2387,RF,train
2025-07-27,FCU_01,0.16253283,24.5062,35.4638,6.0495,RF,train
2025-07-28,FCU_01,0.16362885,24.6699,35.3001,6.0903,RF,train
2025-07-29,FCU_01,0.16214286,24.832,35.138,6.0776,RF,train
2025-07-30,FCU_01,0.16101718,24.993,34.977,6.0045,RF,train
2025-07-31,FCU_01,0.16151594,25.1545,34.8155,6.015,RF,train
2025-08-01,FCU_01,0.16070624,25.3152,34.6548,6.1849,RF,train
2025-08-02,FCU_01,0.16046665,25.4757,34.4943,5.9929,RF,train
2025-08-03,FCU_01,0.16076798,25.6365,34.3335,5.9934,RF,train
2025-08-04,FCU_01,0.15942143,25.7959,34.1741,5.9247,RF,train
2025-08-05,FCU_01,0.16144955,25.9573,34.0127,6.032,RF,train
2025-08-06,FCU_01,0.16051931,26.1179,33.8521,5.9652,RF,train
2025-08-07,FCU_01,0.15934643,26.2772,33.6928,5.8859,RF,train
2025-08-08,FCU_01,0.15875736,26.436,33.534,5.8252,RF,train
2025-08-09,FCU_01,0.15862029,26.5946,33.3754,5.9669,RF,train
2025-08-10,FCU_01,0.15448871,26.7491,33.2209,5.7345,RF,train
2025-08-11,FCU_01,0.15248187,26.9016,33.0684,5.6263,RF,train
2025-08-12,FCU_01,0.15308607,27.0546,32.9154,5.653,RF,train
2025-08-13,FCU_01,0.15306931,27.2077,32.7623,5.66,RF,train
2025-08-14,FCU_01,0.15320269,27.3609,32.6091,5.6777,RF,train
2025-08-15,FCU_01,0.15221425,27.5131,32.4569,5.66,RF,train
2025-08-16,FCU_01,0.15180566,27.6649,32.3051,5.5867,RF,train
2025-08-17,FCU_01,0.1514708,27.8164,32.1536,5.5622,RF,train
2025-08-18,FCU_01,0.15122045,27.9676,32.0024,5.4372,RF,train
2025-08-19,FCU_01,0.14932065,28.1169,31.8531,5.5234,RF,train
2025-08-20,FCU_01,0.12920317,28.2462,31.7238,5.387,RF,train
2025-08-21,FCU_01,0.14845068,28.3946,31.5754,5.4023,RF,train
2025-08-22,FCU_01,0.13609581,28.5307,31.4393,5.2186,RF,train
2025-08-23,FCU_01,0.14365009,28.6743,31.2957,5.2569,RF,train
2025-08-24,FCU_01,0.14369943,28.818,31.152,5.2771,RF,train
2025-08-25,FCU_01,0.1432724,28.9613,31.0087,5.2428,RF,train
2025-08-26,FCU_01,0.14283334,29.1042,30.8658,5.245,RF,train
2025-08-27,FCU_01,0.14259989,29.2468,30.7232,5.2359,RF,train
2025-08-28,FCU_01,0.14107681,29.3878,30.5822,5.0914,RF,train
2025-08-29,FCU_01,0.13958828,29.5274,30.4426,5.135,RF,train
2025-08-30,FCU_01,0.14024214,29.6677,30.3023,5.1587,RF,train
2025-08-31,FCU_01,0.13815612,29.8058,30.1642,5.0868,RF,train
2025-09-01,FCU_01,0.13632784,29.9421,30.0279,4.9264,RF,train
2025-09-02,FCU_01,0.13568492,30.0778,29.8922,4.9021,RF,train
2025-09-03,FCU_01,0.13448764,30.2123,29.7577,4.9346,RF,train
2025-09-04,FCU_01,0.1301218,30.3424,29.6276,4.8398,RF,train
2025-09-05,FCU_01,0.12891089,30.4713,29.4987,4.775,RF,train
2025-09-06,FCU_01,0.13008095,30.6014,29.3686,4.7637,RF,train
2025-09-07,FCU_01,0.12828908,30.7297,29.2403,4.6383,RF,train
2025-09-08,FCU_01,0.12850017,30.8582,29.1118,4.6849,RF,train
2025-09-09,FCU_01,0.12773529,30.986,28.984,4.6741,RF,train
2025-09-10,FCU_01,0.12694471,31.1129,28.8571,4.5646,RF,train
2025-09-11,FCU_01,0.12719889,31.2401,28.7299,4.6313,RF,train
2025-09-12,FCU_01,0.1233955,31.3635,28.6065,4.5949,RF,train
2025-09-13,FCU_01,0.12423211,31.4877,28.4823,4.476,RF,train
2025-09-14,FCU_01,0.12280989,31.6105,28.3595,4.4029,RF,train
2025-09-15,FCU_01,0.11888012,31.7294,28.2406,4.5108,RF,train
2025-09-16,FCU_01,0.12137679,31.8508,28.1192,4.3396,RF,train
2025-09-17,FCU_01,0.11877131,31.9696,28.0004,4.2792,RF,train
2025-09-18,FCU_01,0.12071771,32.0903,27.8797,4.4074,RF,train
2025-09-19,FCU_01,0.11788201,32.2082,27.7618,4.2526,RF,train
2025-09-20,FCU_01,0.11971478,32.3279,27.6421,4.309,RF,train
2025-09-21,FCU_01,0.11587282,32.4438,27.5262,4.0713,RF,train
2025-09-22,FCU_01,0.11602307,32.5598,27.4102,4.1138,RF,train
2025-09-23,FCU_01,0.11556841,32.6753,27.2947,4.0989,RF,train
2025-09-24,FCU_01,0.11268671,32.788,27.182,3.9445,RF,train
2025-09-25,FCU_01,0.11073933,32.8988,27.0712,3.8707,RF,train
2025-09-26,FCU_01,0.11390883,33.0127,26.9573,4.111,RF,train
2025-09-27,FCU_01,0.11076614,33.1234,26.8466,3.9271,RF,train
2025-09-28,FCU_01,0.10960496,33.233,26.737,3.8338,RF,train
2025-09-29,FCU_01,0.10855618,33.3416,26.6284,3.8515,RF,train
2025-09-30,FCU_01,0.10642455,33.448,26.522,3.8336,RF,train
2025-10-01,FCU_01,0.10383276,33.5519,26.4181,3.6523,RF,train
2025-10-02,FCU_01,0.10345317,33.6553,26.3147,3.6376,RF,train
2025-10-03,FCU_01,0.10270606,33.758,26.212,3.608,RF,train
2025-10-04,FCU_01,0.10161358,33.8596,26.1104,3.5864,RF,train
2025-10-05,FCU_01,0.09873078,33.9584,26.0116,3.5936,RF,train
2025-10-06,FCU_01,0.09863743,34.057,25.913,3.4515,RF,train
2025-10-07,FCU_01,0.09866955,34.1557,25.8143,3.4748,RF,train
2025-10-08,FCU_01,0.09793195,34.2536,25.7164,3.4968,RF,train
2025-10-09,FCU_01,0.09906517,34.3527,25.6173,3.4611,RF,train
2025-10-10,FCU_01,0.09787935,34.4505,25.5195,3.4019,RF,train
2025-10-11,FCU_01,0.09891408,34.5495,25.4205,3.537,RF,train
2025-10-12,FCU_01,0.09374744,34.6432,25.3268,3.273,RF,train
2025-10-13,FCU_01,0.09300336,34.7362,25.2338,3.279,RF,train
2025-10-14,FCU_01,0.09283303,34.829,25.141,3.2371,RF,train
2025-10-15,FCU_01,0.09242145,34.9215,25.0485,3.2345,RF,train
2025-10-16,FCU_01,0.09046321,35.0119,24.9581,3.1199,RF,train
2025-10-17,FCU_01,0.08802033,35.1,24.87,3.0783,RF,train
2025-10-18,FCU_01,0.08933727,35.1893,24.7807,3.1117,RF,train
2025-10-19,FCU_01,0.08652015,35.2758,24.6942,2.9662,RF,train
2025-10-20,FCU_01,0.08559857,35.3614,24.6086,3.0629,RF,train
2025-10-21,FCU_01,0.08814638,35.4496,24.5204,3.0578,RF,train
2025-10-22,FCU_01,0.08653517,35.5361,24.4339,2.9533,RF,train
2025-10-23,FCU_01,0.08643901,35.6225,24.3475,2.9949,RF,train
2025-10-24,FCU_01,0.08507321,35.7076,24.2624,2.8203,RF,train
2025-10-25,FCU_01,0.082872,35.7905,24.1795,2.7417,RF,train
2025-10-26,FCU_01,0.08175259,35.8722,24.0978,2.8662,RF,train
2025-10-27,FCU_01,0.07980552,35.952,24.018,2.8199,RF,train
2025-10-28,FCU_01,0.07904581,36.0311,23.9389,2.7774,RF,train
2025-10-29,FCU_01,0.07867726,36.1098,23.8602,2.702,RF,train
2025-10-30,FCU_01,0.07626847,36.186,23.784,2.6578,RF,train
2025-10-31,FCU_01,0.07413628,36.2602,23.7098,2.5388,RF,train
2025-11-01,FCU_01,0.07406136,36.3342,23.6358,2.5676,RF,train
2025-11-02,FCU_01,0.07381989,36.408,23.562,2.523,RF,train
2025-11-03,FCU_01,0.07396032,36.482,23.488,2.6048,RF,train
2025-11-04,FCU_01,0.0710916,36.5531,23.4169,2.4521,RF,train
2025-11-05,FCU_01,0.07016194,36.6233,23.3467,2.3301,RF,train
2025-11-06,FCU_01,0.07160006,36.6949,23.2751,2.4136,RF,train
2025-11-07,FCU_01,0.07008375,36.7649,23.2051,2.3967,RF,train
2025-11-08,FCU_01,0.07133086,36.8363,23.1337,2.461,RF,train
2025-11-09,FCU_01,0.06636769,36.9026,23.0674,2.244,RF,train
2025-11-10,FCU_01,0.0672024,36.9698,23.0002,2.27,RF,train
2025-11-11,FCU_01,0.07034526,37.0402,22.9298,2.4376,RF,train
2025-11-12,FCU_01,0.06756097,37.1077,22.8623,2.1979,RF,train
2025-11-13,FCU_01,0.06757574,37.1753,22.7947,2.3105,RF,train
2025-11-14,FCU_01,0.06672944,37.2421,22.7279,2.2781,RF,train
2025-11-15,FCU_01,0.06490358,37.307,22.663,2.1921,RF,train
2025-11-16,FCU_01,0.06462423,37.3716,22.5984,2.1516,RF,train
2025-11-17,FCU_01,0.06283442,37.4344,22.5356,2.0835,RF,train
2025-11-18,FCU_01,0.06138685,37.4958,22.4742,2.1802,RF,train
2025-11-19,FCU_01,0.06073047,37.5565,22.4135,2.2296,RF,train
2025-11-20,FCU_01,0.06092429,37.6175,22.3525,2.0708,RF,train
2025-11-21,FCU_01,0.06067802,37.6781,22.2919,2.0063,RF,train
2025-11-22,FCU_01,0.05798475,37.7361,22.2339,1.9148,RF,train
2025-11-23,FCU_01,0.0603534,37.7965,22.1735,2.0194,RF,train
2025-11-24,FCU_01,0.06078975,37.8573,22.1127,2.0242,RF,train
2025-11-25,FCU_01,0.06157742,37.9188,22.0512,2.0656,RF,train
2025-11-26,FCU_01,0.05791342,37.9768,21.9932,1.8943,RF,train
2025-11-27,FCU_01,0.0600168,38.0368,21.9332,1.9818,RF,train
2025-11-28,FCU_01,0.06094494,38.0977,21.8723,2.0211,RF,train
2025-11-29,FCU_01,0.05904961,38.1568,21.8132,1.9656,RF,train
2025-11-30,FCU_01,0.05614005,38.2129,21.7571,1.8404,RF,train
2025-12-01,FCU_01,0.06044597,38.2733,21.6967,2.0132,RF,train
2025-12-02,FCU_01,0.06099425,38.3343,21.6357,2.0137,RF,train
2025-12-03,FCU_01,0.05948441,38.3938,21.5762,1.9538,RF,train
2025-12-04,FCU_01,0.05135881,38.4452,21.5248,1.7278,RF,train
2025-12-05,FCU_01,0.05534309,38.5005,21.4695,1.8091,RF,train
2025-12-06,FCU_01,0.05290188,38.5534,21.4166,1.7267,RF,train
2025-12-07,FCU_01,0.05696759,38.6104,21.3596,1.8531,RF,train
2025-12-08,FCU_01,0.05526962,38.6657,21.3043,1.8074,RF,train
2025-12-09,FCU_01,0.05527587,38.7209,21.2491,1.8058,RF,train
2025-12-10,FCU_01,0.05505962,38.776,21.194,1.7868,RF,train
2025-12-11,FCU_01,0.05602611,38.832,21.138,1.8258,RF,train
2025-12-12,FCU_01,0.05811385,38.8901,21.0799,1.9033,RF,train
2025-12-13,FCU_01,0.05287933,38.943,21.027,1.7136,RF,train
2025-12-14,FCU_01,0.05605939,38.9991,20.9709,1.8167,RF,train
2025-12-15,FCU_01,0.05601794,39.0551,20.9149,1.8189,RF,train
2025-12-16,FCU_01,0.05300363,39.1081,20.8619,1.7403,RF,train
2025-12-17,FCU_01,0.05565228,39.1638,20.8062,1.8041,RF,train
2025-12-18,FCU_01,0.05516131,39.2189,20.7511,1.7845,RF,train
2025-12-19,FCU_01,0.05789447,39.2768,20.6932,1.8752,RF,train
2025-12-20,FCU_01,0.05304108,39.3299,20.6401,1.7436,RF,train
2025-12-21,FCU_01,0.05291286,39.3828,20.5872,1.7121,RF,train
2025-12-22,FCU_01,0.05619641,39.439,20.531,1.8185,RF,train
2025-12-23,FCU_01,0.05289281,39.4919,20.4781,1.6952,RF,train
2025-12-24,FCU_01,0.05575078,39.5476,20.4224,1.7957,RF,train
2025-12-25,FCU_01,0.05583527,39.6034,20.3666,1.8057,RF,train
